"Vehicle_ID","Make","Age_Years","Outlook_Score","Mileage_km","Maintenance_Costs","Fuel_Efficiency_kmpl","Accident_History","Usage_Type","Defleet"
"V0036","Volvo","9","2","350000","19000","2.3477886977887","5","Mixed","1"
"V0051","MAN","6","7","350500.41701418","19045.871559633","2.0674447174447","9","Mixed","0"
"V0064","MAN","8","9","351000.83402836","19091.743119266","2.3409090909091","7","Mixed","0"
"V0074","Freightliner","7","4","351501.25104254","19137.614678899","2.4071253071253","3","Urban","1"
"V0082","Freightliner","8","2","352001.66805671","19183.486238532","1.3356265356265","9","Highway","0"
"V0087","Volvo","10","5","352502.08507089","19229.357798165","1.7931203931204","1","Urban","0"
"V0118","Mercedes Actros","7","2","353002.50208507","19275.229357798","2.0433660933661","9","Urban","0"
"V0147","MAN","5","8","353502.91909925","19321.100917431","2.0485257985258","4","Urban","0"
"V0186","Scania","6","7","354003.33611343","19366.972477064","2.3572481572482","3","Highway","0"
"V0194","Volvo","9","2","354503.75312761","19412.844036697","2.2686732186732","0","Urban","0"
"V0201","Volvo","11","2","355004.17014178","19458.71559633","2.0898034398034","3","Urban","0"
"V0203","Volvo","10","6","355504.58715596","19504.587155963","1.729484029484","3","Urban","0"
"V0225","Freightliner","8","5","356005.00417014","19550.458715596","2.1233415233415","9","Mixed","1"
"V0227","Volvo","6","6","356505.42118432","19596.330275229","1.1","2","Mixed","0"
"V0228","Mercedes Actros","8","9","357005.8381985","19642.201834862","1.3597051597052","0","Highway","0"
"V0246","Freightliner","7","1","357506.25521268","19688.073394495","2.1199017199017","3","Highway","1"
"V0270","Mercedes Actros","12","7","358006.67222686","19733.944954128","1.9668304668305","6","Mixed","0"
"V0319","Volvo","6","8","358507.08924103","19779.816513761","1.8318181818182","0","Mixed","0"
"V0324","MAN","8","9","359007.50625521","19825.688073394","2.359828009828","8","Highway","1"
"V0338","Scania","10","8","359507.92326939","19871.559633028","1.3296068796069","1","Mixed","0"
"V0354","Freightliner","7","4","360008.34028357","19917.431192661","1.8627764127764","5","Highway","1"
"V0357","Mercedes Actros","12","8","360508.75729775","19963.302752294","1.9848894348894","5","Mixed","0"
"V0421","Volvo","11","4","361009.17431193","20009.174311927","1.3889434889435","0","Urban","0"
"V0435","Scania","5","8","361509.59132611","20055.04587156","1.2504914004914","4","Urban","1"
"V0452","MAN","9","7","362010.00834028","20100.917431193","1.6108108108108","8","Urban","0"
